episode,reward,waiting,queue,arrived,epsilon,phase_counts,phases_used,dominant_phase,dominant_pct
91,5101.123749999994,5646.988888888889,41.74888888888889,1316.0,0.8334494362227647,"{""0"": 74, ""1"": 74}",2,0,50.0
92,5150.8198124999935,5789.275833333333,43.096944444444446,1335.0,0.8317825373503192,"{""0"": 73, ""1"": 73}",2,0,50.0
93,5115.388875000006,5960.638333333333,43.99944444444444,1337.0,0.8301189722756185,"{""0"": 70, ""1"": 69}",2,0,50.4
94,5275.24693750001,5908.946944444445,43.73722222222222,1365.0,0.8284587343310672,"{""0"": 65, ""1"": 65}",2,0,50.0
95,4961.063749999999,5776.541666666667,42.67583333333334,1297.0,0.8268018168624051,"{""0"": 76, ""1"": 76}",2,0,50.0
96,5098.1492499999995,5880.264444444444,43.67666666666667,1328.0,0.8251482132286803,"{""0"": 68, ""1"": 67}",2,0,50.4
97,5338.931500000021,5836.737777777777,42.86222222222222,1377.0,0.823497916802223,"{""0"": 80, ""1"": 80}",2,0,50.0
98,4904.245500000005,5736.675555555556,42.38444444444445,1280.0,0.8218509209686186,"{""0"": 77, ""1"": 76}",2,0,50.3
99,5226.579999999992,5949.094444444445,43.78,1358.0,0.8202072191266814,"{""0"": 74, ""1"": 74}",2,0,50.0
100,4943.539937500019,5894.6947222222225,43.80166666666667,1298.0,0.818566804688428,"{""0"": 67, ""1"": 67}",2,0,50.0
101,5068.573312499993,5826.129722222222,43.16555555555556,1321.0,0.8169296710790511,"{""0"": 72, ""1"": 71}",2,0,50.3
102,4796.940000000007,5822.691666666667,43.16305555555556,1264.0,0.815295811736893,"{""0"": 67, ""1"": 66}",2,0,50.4
103,5124.542687500001,5885.421388888889,43.169444444444444,1335.0,0.8136652201134192,"{""0"": 73, ""1"": 73}",2,0,50.0
104,5329.950250000005,5851.062777777778,43.6325,1373.0,0.8120378896731923,"{""0"": 72, ""1"": 71}",2,0,50.3
105,5390.553687499996,5858.114166666666,43.34527777777778,1386.0,0.8104138138938459,"{""0"": 72, ""1"": 71}",2,0,50.3
106,5017.337937500007,5952.195277777778,44.02472222222222,1317.0,0.8087929862660582,"{""0"": 74, ""1"": 74}",2,0,50.0
107,5214.468875000005,5940.824444444444,43.881388888888885,1354.0,0.8071754002935261,"{""0"": 71, ""1"": 71}",2,0,50.0
108,5183.745937499984,5801.059722222222,42.893055555555556,1343.0,0.805561049492939,"{""0"": 74, ""1"": 74}",2,0,50.0
109,5227.565062499995,5850.488611111111,43.205555555555556,1354.0,0.8039499273939532,"{""0"": 75, ""1"": 75}",2,0,50.0
110,5045.539437499995,5795.6525,42.82277777777778,1313.0,0.8023420275391653,"{""0"": 68, ""1"": 67}",2,0,50.4
111,4894.463437499996,5924.856944444445,43.74722222222222,1290.0,0.800737343484087,"{""0"": 71, ""1"": 70}",2,0,50.4
112,4814.481062500002,5688.623055555556,42.026666666666664,1264.0,0.7991358687971188,"{""0"": 74, ""1"": 74}",2,0,50.0
113,4870.419312499999,5821.466944444444,43.16138888888889,1280.0,0.7975375970595246,"{""0"": 68, ""1"": 68}",2,0,50.0
114,4823.762062499997,5795.8075,42.68333333333333,1270.0,0.7959425218654056,"{""0"": 71, ""1"": 71}",2,0,50.0
